loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),deviceOrientation(Z)
82,116350.226989542,-0.024246215820313,-0.01678466796875,-1.00228881835938,116350.220031542,-0.074538416801901,-0.048058872399352,-0.001120924502814,116350.215057542,-1.81356886671655,-0.022723868456967,0.009181080503547,-0.07892619073391,-0.050159517675638,-0.015199713408947,-0.000335074961185,-0.011586260050535,-0.004618525505066,-0.006118662189692,-0.010616847313941,-0.787499129772186,0.616193890571594,-0.022720955312252,-0.009180951863527,-0.999699711799622,0,0,0,-1,5
83,116350.286651542,-0.059249877929688,0.05230712890625,-0.977691650390625,116350.254821542,-0.048730255310161,-0.03563575854635,0.007809187264439,116350.284668542,-1.81429367603161,-0.024590070464428,0.005960494906347,0.045610144734383,0.051613718271256,-0.011077140457928,-0.027628419920802,0.046426769345999,0.003082633018494,-0.007849441841245,-0.009920973330736,-0.787708938121796,0.61591762304306,-0.024587156251073,-0.005960459820926,-0.999679923057556,0,0,0,-1,5
84,116350.346313542,-0.053939819335938,0.045166015625,-1.01156616210938,116350.324432542,0.029834328427722,0.010122142671173,0.04321937606646,116350.319488542,-1.81384519321653,-0.024709524570739,0.00603696224356,-0.003804275766015,-0.015059852972627,0.031890567392111,-0.043164532631636,0.071207210421562,-0.019656360149384,-0.007870698347688,-0.009989640675485,-0.787570536136627,0.616093218326569,-0.024706559255719,-0.006036925595254,-0.999676525592804,0,0,0,-1,5
85,116350.405980125,-0.031280517578125,0.009963989257813,-1.02154541015625,116350.394043542,0.058672368291645,0.026646258286788,0.08967076443184,116350.389099542,-1.80966001466212,-0.023981596730948,0.007291322321525,0.045916672796011,0.038516025990248,0.077705189585686,-0.016197729855776,0.032544553279877,0.007116913795471,-0.007176124490798,-0.010274363681674,-0.786285400390625,0.617736399173737,-0.023978659883142,-0.007291257847101,-0.999685883522034,0,0,0,-1,5
86,116350.465642125,-0.01348876953125,0.009231567382813,-1.00393676757813,116350.463658125,0.026414563271951,0.016410931269286,0.09030965677735,116350.458714125,-1.80369993384372,-0.022440340744675,0.00968913240811,0.028522770851851,0.022730400785804,0.083842977881432,0.00379116460681,0.017028458416462,-0.015633761882782,-0.005797456949949,-0.010758260264993,-0.784450650215149,0.620070815086365,-0.022437404841185,-0.009688980877399,-0.99970132112503,0,0,0,-1,5
87,116350.525304125,0.011184692382813,0.053314208984375,-1.00912475585938,116350.498479125,-0.070167370504754,-0.047011983774842,-0.012838833299163,116350.493504125,-1.80239682911385,-0.02352338712646,0.007908316593873,-0.104726709425449,-0.059429004788399,-0.016612052917481,0.034964572638273,0.039234526455402,-0.023959040641785,-0.006767667364329,-0.010400033555925,-0.784039795398712,0.620586514472961,-0.023520482704043,-0.007908234372735,-0.99969208240509,0,0,0,-1,5
88,116350.584965125,0.014236450195313,0.034591674804688,-1.00028991699219,116350.568089125,0.003929760504521,0.016194149956554,-0.074801270801492,116350.563084125,-1.80617693246766,-0.022920971616573,0.008787484640428,-0.011241229251027,0.007818207144737,-0.089030064642429,0.042067859321833,0.058119036257267,-0.001598298549652,-0.006278618704528,-0.01054588612169,-0.785215020179749,0.619101524353027,-0.022918079048395,-0.008787371218205,-0.99969869852066,0,0,0,-1,5
89,116350.644627125,-0.015777587890625,-0.013748168945313,-0.994735717773438,116350.637700125,0.002704972719193,0.022481873290231,-0.036248551913178,116350.632695125,-1.8107681757818,-0.021888689933995,0.01069606240891,-0.011515002697706,0.005564373917878,-0.051579892635346,0.007145699113607,0.007338925264776,-0.030310750007629,-0.005307637155056,-0.010963449254632,-0.786640107631683,0.617291569709778,-0.021885689347983,-0.010695858858526,-0.999703288078308,0,0,0,-1,5
90,116350.704289125,-0.020660400390625,-0.006210327148438,-0.980545043945312,116350.672490125,0.014925153697131,-0.013987454677314,-0.023444606024295,116350.702306125,-1.81347180000885,-0.021712239488948,0.010700327822997,-0.001002706587315,0.002152331639081,-0.030065011233091,-0.00041595287621,0.00383366830647,-0.005221545696259,-0.005251662340015,-0.010903576388955,-0.78747433423996,0.616228640079498,-0.021709291264415,-0.010700123384595,-0.999707043170929,0,0,0,-1,5
91,116350.763982125,-0.013534545898438,-0.018768310546875,-0.968902587890625,116350.742100125,0.012738165809958,-0.005514607669227,0.003333212420343,116350.737126125,-1.81416207786661,-0.021958844032607,0.010354968535868,-0.005303445737809,0.00960838329047,-0.009739765897393,0.005171235650778,-0.006277296692133,-0.02159595489502,-0.005458927247673,-0.010841706767678,-0.787685871124268,0.61595755815506,-0.021955901756883,-0.010354783385992,-0.99970531463623,0,0,0,-1,5
